,name,age,date,mv
542,mario-gotze,9,1,900000
543,mario-gotze,6,98,900000
544,marwin-hitz,31,18,3600000
545,marwin-hitz,26,13,405000
546,marwin-hitz,21,8,45000
547,marwin-hitz,21,8,45000
548,marwin-hitz,21,8,45000
549,marwin-hitz,21,7,45000
550,marwin-hitz,20,7,45000
551,marwin-hitz,18,5,45000
552,mateu-morey,19,19,270000
553,mateu-morey,17,17,270000
554,mateu-morey,15,15,270000
555,mats-hummels,30,19,31500000
556,mats-hummels,27,16,34200000
557,mats-hummels,20,9,3600000
558,mats-hummels,20,9,3600000
559,mats-hummels,19,8,225000
560,mats-hummels,18,7,135000
561,mats-hummels,17,6,45000
562,mats-hummels,16,5,45000
563,mats-hummels,14,3,45000
564,nico-schulz,26,19,22500000
565,nico-schulz,24,17,1800000
566,nico-schulz,22,15,3150000
567,nico-schulz,17,10,3150000
568,nico-schulz,16,9,3150000
569,nico-schulz,15,8,3150000
570,nico-schulz,7,0,3150000
571,raphael-guerreiro,22,16,8100000
572,raphael-guerreiro,19,13,1350000
573,raphael-guerreiro,18,12,1350000
574,raphael-guerreiro,16,10,1350000
575,roman-burki,24,15,5400000
576,roman-burki,23,14,2250000
577,roman-burki,22,13,1580000
578,roman-burki,22,13,1580000
579,roman-burki,20,11,225000
580,roman-burki,19,10,225000
581,roman-burki,19,10,90000
582,roman-burki,19,9,90000
583,roman-burki,18,9,45000
584,roman-burki,17,8,45000
585,roman-burki,16,7,45000
586,roman-burki,14,5,45000
587,thomas-delaney,27,18,10800000
588,thomas-delaney,26,17,3150000
589,thomas-delaney,18,9,90000
590,thomas-delaney,16,7,3150000
591,thorgan-hazard,26,19,34200000
592,thorgan-hazard,22,15,9000000
593,thorgan-hazard,22,15,9000000
594,thorgan-hazard,21,14,9000000
595,thorgan-hazard,21,14,9000000
596,thorgan-hazard,19,12,450000
597,thorgan-hazard,19,12,450000
598,thorgan-hazard,18,11,450000
599,thorgan-hazard,17,10,450000
600,thorgan-hazard,14,7,450000
601,alassane-plea,25,18,16200000
602,alassane-plea,21,14,900000
603,alassane-plea,21,14,675000
604,alassane-plea,21,14,675000
605,alassane-plea,19,12,675000
606,alassane-plea,18,11,675000
607,breel-embolo,22,19,12600000
608,breel-embolo,19,16,18000000
609,breel-embolo,17,14,90000
610,breel-embolo,17,14,90000
611,breel-embolo,16,13,90000
612,breel-embolo,15,12,90000
613,breel-embolo,13,10,90000
614,christoph-kramer,25,16,10800000
615,christoph-kramer,24,15,10800000
616,christoph-kramer,22,13,1350000
617,christoph-kramer,22,13,1350000
618,christoph-kramer,20,11,90000
619,christoph-kramer,20,11,45000
620,christoph-kramer,19,10,45000
621,christoph-kramer,17,8,45000
622,christoph-kramer,15,6,45000
623,christoph-kramer,9,0,45000
624,denis-zakaria,20,17,3600000
625,denis-zakaria,18,15,90000
626,denis-zakaria,18,15,90000
627,denis-zakaria,17,14,90000
628,fabian-johnson,32,20,1440000
629,fabian-johnson,26,14,3600000
630,fabian-johnson,23,11,1130000
631,fabian-johnson,21,9,900000
632,fabian-johnson,18,6,90000
633,fabian-johnson,17,5,90000
634,fabian-johnson,16,4,90000
635,fabian-johnson,14,2,90000
636,fabian-johnson,8,96,90000
637,florian-neuhaus,21,18,2700000
638,florian-neuhaus,20,17,225000
639,florian-neuhaus,20,17,225000
640,florian-neuhaus,19,16,225000
641,florian-neuhaus,17,14,225000
642,florian-neuhaus,15,12,225000
643,florian-neuhaus,10,7,225000
644,ibrahima-traore,26,14,3600000
645,ibrahima-traore,23,11,1800000
646,ibrahima-traore,21,9,113000
647,ibrahima-traore,19,7,45000
648,ibrahima-traore,19,7,113000
649,jonas-hofmann,24,16,3600000
650,jonas-hofmann,23,15,3600000
651,jonas-hofmann,22,14,3600000
652,jonas-hofmann,21,13,450000
653,jonas-hofmann,19,11,45000
654,jonas-hofmann,17,9,45000
655,jonas-hofmann,15,7,45000
656,jonas-hofmann,12,4,45000
657,keanan-bennetts,22,21,1170000
658,keanan-bennetts,21,20,1170000
659,keanan-bennetts,19,18,1170000
660,keanan-bennetts,18,17,1170000
661,keanan-bennetts,16,15,1170000
662,lars-stindl,27,15,7650000
663,lars-stindl,22,10,1580000
664,lars-stindl,19,7,1580000
665,lars-stindl,17,5,1580000
666,lars-stindl,15,3,1580000
667,lars-stindl,12,0,1580000
668,laszlo-benes,22,19,1350000
669,laszlo-benes,22,19,900000
670,laszlo-benes,19,16,450000
671,laszlo-benes,18,15,450000
