name,age,date,mv
fabian-johnson,23,11,1130000
fabian-johnson,21,9,900000
fabian-johnson,18,6,90000
fabian-johnson,17,5,90000
fabian-johnson,16,4,90000
fabian-johnson,14,2,90000
fabian-johnson,8,96,90000
florian-neuhaus,21,18,2700000
florian-neuhaus,20,17,225000
florian-neuhaus,19,16,225000
florian-neuhaus,17,14,225000
florian-neuhaus,15,12,225000
florian-neuhaus,10,7,225000
ibrahima-traore,26,14,3600000
ibrahima-traore,23,11,1800000
ibrahima-traore,21,9,113000
ibrahima-traore,19,7,79000
jonas-hofmann,24,16,3600000
jonas-hofmann,23,15,3600000
jonas-hofmann,22,14,3600000
jonas-hofmann,21,13,450000
jonas-hofmann,19,11,45000
jonas-hofmann,17,9,45000
jonas-hofmann,15,7,45000
jonas-hofmann,12,4,45000
keanan-bennetts,22,21,1170000
keanan-bennetts,21,20,1170000
keanan-bennetts,19,18,1170000
keanan-bennetts,18,17,1170000
keanan-bennetts,16,15,1170000
lars-stindl,27,15,7650000
lars-stindl,22,10,1580000
lars-stindl,19,7,1580000
lars-stindl,17,5,1580000
lars-stindl,15,3,1580000
lars-stindl,12,0,1580000
laszlo-benes,22,19,1125000
laszlo-benes,19,16,450000
laszlo-benes,18,15,450000
laszlo-benes,14,11,450000
mamadou-doucoure,18,16,450000
mamadou-doucoure,17,15,450000
mamadou-doucoure,16,14,450000
mamadou-doucoure,15,13,450000
mamadou-doucoure,13,11,450000
marcus-thuram,22,19,8100000
marcus-thuram,20,17,540000
marcus-thuram,18,15,540000
marcus-thuram,16,13,540000
marcus-thuram,15,12,540000
matthias-ginter,23,17,13500000
matthias-ginter,20,14,10800000
matthias-ginter,18,12,180000
matthias-ginter,16,10,180000
matthias-ginter,15,9,180000
matthias-ginter,11,5,180000
max-grun,32,19,135000
max-grun,31,18,225000
max-grun,26,13,900000
max-grun,22,9,45000
max-grun,19,6,45000
max-grun,17,4,45000
max-grun,15,2,45000
nico-elvedi,19,15,3600000
nico-elvedi,18,14,3600000
nico-elvedi,17,13,3600000
nico-elvedi,16,12,3600000
oscar-wendt,26,11,2700000
oscar-wendt,21,6,608000
oscar-wendt,20,5,2700000
patrick-herrmann,19,10,2700000
patrick-herrmann,17,8,2700000
patrick-herrmann,15,6,2700000
patrick-herrmann,13,4,2700000
raffael,35,20,1080000
raffael,28,13,7200000
raffael,27,12,8100000
raffael,23,8,3600000
raffael,21,6,1980000
raffael,20,5,1980000
raffael,18,3,1980000
raffael,16,1,1980000
ramy-bensebaini,24,19,7200000
ramy-bensebaini,21,16,1800000
ramy-bensebaini,20,15,900000
ramy-bensebaini,19,14,900000
ramy-bensebaini,18,13,900000
ramy-bensebaini,18,12,900000
stefan-lainer,27,19,11250000
stefan-lainer,23,15,585000
stefan-lainer,22,14,225000
stefan-lainer,20,12,135000
stefan-lainer,19,11,135000
stefan-lainer,18,10,135000
stefan-lainer,16,8,135000
stefan-lainer,15,7,135000
stefan-lainer,14,6,135000
tobias-sippel,27,15,900000
tobias-sippel,18,6,135000
tobias-sippel,17,5,135000
tobias-sippel,16,4,135000
tobias-sippel,15,3,135000
tobias-sippel,10,98,135000
tobias-strobl,30,20,3150000
tobias-strobl,26,16,1800000
tobias-strobl,23,13,675000
tobias-strobl,22,12,225000
tobias-strobl,21,11,113000
tobias-strobl,19,9,113000
tobias-strobl,17,7,113000
tobias-strobl,15,5,113000
tobias-strobl,10,0,113000
tony-jantschke,19,9,450000
tony-jantschke,17,7,450000
tony-jantschke,16,6,450000
tony-jantschke,15,5,450000
tony-jantschke,11,1,450000
torben-musel,19,18,180000
torben-musel,18,17,180000
torben-musel,17,16,180000
torben-musel,16,15,180000
torben-musel,7,6,180000
yann-sommer,25,14,7200000
yann-sommer,21,10,1350000
yann-sommer,20,9,540000
yann-sommer,18,7,90000
yann-sommer,17,6,90000
yann-sommer,16,5,90000
yann-sommer,14,3,90000
alphonso-davies,19,19,9000000
alphonso-davies,16,16,9000000
alvaro-odriozola,24,20,16200000
alvaro-odriozola,22,18,22500000
alvaro-odriozola,21,17,270000
alvaro-odriozola,18,14,22500000
benjamin-pavard,23,19,27000000
benjamin-pavard,20,16,720000
benjamin-pavard,19,15,720000
benjamin-pavard,18,14,720000
christian-fruchtl,21,21,630000
christian-fruchtl,20,20,630000
christian-fruchtl,17,17,630000
christian-fruchtl,16,16,630000
christian-fruchtl,15,15,630000
christian-fruchtl,14,14,630000
corentin-tolisso,23,17,19800000
corentin-tolisso,20,14,19800000
corentin-tolisso,18,12,19800000
david-alaba,19,11,3150000
david-alaba,18,10,900000
david-alaba,17,9,180000
david-alaba,16,8,180000
david-alaba,15,7,180000
david-alaba,10,2,180000
fiete-arp,20,20,1800000
fiete-arp,19,19,3600000
fiete-arp,17,17,270000
fiete-arp,15,15,270000
fiete-arp,10,10,270000
ivan-perisic,31,20,15750000
ivan-perisic,30,19,27000000
ivan-perisic,26,15,11700000
ivan-perisic,24,13,6300000
ivan-perisic,22,11,5400000
ivan-perisic,20,9,510000
ivan-perisic,19,8,293000
ivan-perisic,17,6,293000
ivan-perisic,15,4,293000
javi-martinez,24,12,27000000
javi-martinez,18,6,27000000
javi-martinez,17,5,27000000
jerome-boateng,23,11,13500000
jerome-boateng,22,10,13500000
jerome-boateng,19,7,416500
jerome-boateng,18,6,158000
jerome-boateng,17,5,158000
jerome-boateng,15,3,158000
jerome-boateng,14,2,158000
joshua-kimmich,20,15,4500000
joshua-kimmich,18,13,4500000
joshua-kimmich,17,12,4500000
joshua-kimmich,15,10,4500000
joshua-kimmich,12,7,4500000
joshua-zirkzee,19,20,5670000
joshua-zirkzee,18,19,5670000
joshua-zirkzee,17,18,5670000
joshua-zirkzee,16,17,5670000
joshua-zirkzee,15,16,5670000
joshua-zirkzee,12,13,5670000
kingsley-coman,21,17,18000000
kingsley-coman,19,15,3150000
kingsley-coman,18,14,675000
kingsley-coman,17,13,675000
kingsley-coman,15,11,675000
leon-goretzka,23,18,36000000
leon-goretzka,18,13,4050000
leon-goretzka,17,12,4050000
leon-goretzka,16,11,4050000
leon-goretzka,15,10,4050000
leon-goretzka,6,1,4050000
lucas-hernandez,23,19,63000000
lucas-hernandez,19,15,63000000
lucas-hernandez,18,14,63000000
lucas-hernandez,16,12,63000000
lucas-hernandez,15,11,63000000
lucas-hernandez,11,7,63000000
lars-lukas-mai,21,21,1620000
lars-lukas-mai,20,20,1620000
lars-lukas-mai,19,19,540000
lars-lukas-mai,18,18,540000
lars-lukas-mai,17,17,540000
lars-lukas-mai,15,15,540000
lars-lukas-mai,14,14,540000
manuel-neuer,25,11,25200000
manuel-neuer,19,5,68000
manuel-neuer,17,3,68000
manuel-neuer,15,1,68000
niklas-sule,22,17,22500000
niklas-sule,18,13,270000
niklas-sule,17,12,270000
niklas-sule,16,11,270000
niklas-sule,15,10,270000
niklas-sule,14,9,270000
niklas-sule,11,6,270000
kwasi-okyere-wriedt,26,20,720000
kwasi-okyere-wriedt,23,17,405000
kwasi-okyere-wriedt,22,16,135000
kwasi-okyere-wriedt,21,15,68000
kwasi-okyere-wriedt,19,13,68000
kwasi-okyere-wriedt,17,11,68000
kwasi-okyere-wriedt,15,9,68000
